player,team,season,date,points
Ron Steve,athletes,fall_2015,2015-11-18,22.0
Ron Steve,athletes,fall_2015,2015-11-19,2.0
Ron Steve,athletes,fall_2015,2015-11-20,2.0
Ron Steve,athletes,fall_2015,2015-11-21,2.0
Ron Steve,athletes,fall_2015,2015-11-22,22.0
Rupert Harry,athletes,fall_2015,2015-09-28,61.0
Rupert Harry,athletes,fall_2015,2015-09-29,27.0
Rupert Harry,athletes,fall_2015,2015-09-30,32.0
Rupert Harry,athletes,fall_2015,2015-10-01,34.0
Rupert Harry,athletes,fall_2015,2015-10-02,31.0
Rupert Harry,athletes,fall_2015,2015-10-03,9.0
Rupert Harry,athletes,fall_2015,2015-10-04,7.0
Rupert Harry,athletes,fall_2015,2015-10-05,27.0
Rupert Harry,athletes,fall_2015,2015-10-06,8.0
Rupert Harry,athletes,fall_2015,2015-10-07,27.0
Rupert Harry,athletes,fall_2015,2015-10-08,64.0
Rupert Harry,athletes,fall_2015,2015-10-09,54.0
Rupert Harry,athletes,fall_2015,2015-10-10,29.0
Rupert Harry,athletes,fall_2015,2015-10-11,2.0
Rupert Harry,athletes,fall_2015,2015-10-12,33.0
Rupert Harry,athletes,fall_2015,2015-10-13,31.0
Rupert Harry,athletes,fall_2015,2015-10-14,27.0
Rupert Harry,athletes,fall_2015,2015-10-15,64.0
Rupert Harry,athletes,fall_2015,2015-10-16,33.0
Rupert Harry,athletes,fall_2015,2015-10-17,4.0
Rupert Harry,athletes,fall_2015,2015-10-18,3.0
